,,Carpet Area Prices(Rs.Per Sq.Ft.),,,
Mumbai,Jun 2021,"23,640","21,881","24,628","29,617"
Mumbai,Sep 2021,"23,826","22,046","24,737","30,173"
Mumbai,Dec 2021,"23,757","22,071","24,492","30,204"
Mumbai,Mar 2022,"24,045","22,349","24,812","30,433"
Mumbai,Jun 2022,"24,259","22,672","24,846","30,676"
Mumbai,Sep 2022,"24,459","22,821","25,023","31,220"
Mumbai,Dec 2022,"24,708","22,923","25,457","31,628"
Mumbai,Mar 2023,"24,865","22,954","25,742","32,022"
Mumbai,Jun 2023,"25,032","23,044","26,013","32,245"
Mumbai,Sep 2023,"25,352","23,245","26,592","32,324"
Mumbai,Dec 2023,"25,453","23,151","26,905","32,745"
Mumbai,Mar 2024,"25,856","23,485","27,506","32,847"
Mumbai,Jun 2024,"26,191","23,855","27,977","32,540"
Mumbai,Sep 2024,"26,364","24,179","28,398","31,069"
Pune,Jun-2013,"5,189","4,728","5,393","6,238"
Pune,Sep-2013,"5,343","4,828","5,561","6,551"
Pune,Dec-2013,"5,486","4,981","5,672","6,789"
Pune,Mar-2014,"5,641","5,117","5,814","7,082"
Pune,Jun-2014,"5,743","5,222","5,892","7,282"
Pune,Sep-2014,"5,879","5,376","6,017","7,389"
Pune,Dec-2014,"6,039","5,492","6,215","7,573"
Pune,Mar-2015,"6,199","5,604","6,384","7,888"
Pune,Jun-2015,"6,365","5,710","6,614","8,029"
Pune,Sep-2015,"6,452","5,781","6,691","8,229"
Pune,Dec-2015,"6,505","5,814","6,745","8,362"
Pune,Mar-2016,"6,568","5,915","6,795","8,320"
Pune,Jun-2016,"6,607","5,991","6,786","8,411"
Pune,Sep-2016,"6,723","6,133","6,926","8,320"
Pune,Dec-2016,"6,853","6,278","7,051","8,400"
Pune,Mar-2017,"7,004","6,415","7,230","8,494"
Pune,Jun-2017,"7,033","6,339","7,354","8,548"
Pune,Sep-2017,"7,028","6,252","7,409","8,618"
Pune,Dec-2017,"7,202","6,416","7,571","8,893"
Pune,Mar-2018,"7,311","6,503","7,687","9,062"
Pune,JUN-2018,"7,562","6,783","7,916","9,288"
Pune,SEP-2018,"7,736","6,971","8,057","9,549"
Pune,DEC 2018,"7,800","7,012","8,166","9,507"
Pune,Mar 2019,"7,836","7,025","8,208","9,618"
Pune,Jun 2019,"7,848","6,956","8,258","9,808"
Pune,Sep 2019,"7,971","7,064","8,422","9,813"
Pune,Dec 2019,"8,122","7,194","8,550","10,156"
Pune,Mar 2020,"8,214","7,359","8,575","10,228"
Pune,Jun 2020,"8,269","7,540","8,554","10,091"
Pune,Sep 2020,"8,274","7,562","8,540","10,103"
Pune,Dec 2020,"8,137","7,457","8,376","9,949"
Pune,Mar 2021,"8,180","7,477","8,447","9,961"
Pune,Jun 2021,"8,136","7,458","8,404","9,818"
Pune,Sep 2021,"8,144","7,414","8,441","9,914"
Pune,Dec 2021,"8,182","7,392","8,549","9,900"
Pune,Mar 2022,"8,250","7,342","8,712","10,050"
Pune,Jun 2022,"8,420","7,401","8,959","10,346"
Pune,Sep 2022,"8,564","7,484","9,125","10,651"
Pune,Dec 2022,"8,739","7,657","9,271","10,964"
Pune,Mar 2023,"8,904","7,808","9,426","11,222"
Pune,Jun 2023,"8,961","7,869","9,438","11,462"
Pune,Sep 2023,"9,084","8,007","9,554","11,550"
Pune,Dec 2023,"9,157","8,021","9,676","11,663"
Pune,Mar 2024,"9,369","8,193","9,918","11,910"
Pune,Jun 2024,"9,532","8,330","10,093","12,127"
Pune,Sep 2024,"9,643","8,388","10,236","12,325"
Hyderabad,Jun-2013,"3,212","2,612","3,067","3,534"
Hyderabad,Sep-2013,"3,270","2,615","3,104","3,634"
Hyderabad,Dec-2013,"3,304","2,624","3,138","3,670"
Hyderabad,Mar-2014,"3,368","2,649","3,191","3,759"
Hyderabad,Jun-2014,"3,409","2,710","3,244","3,778"
Hyderabad,Sep-2014,"3,490","2,797","3,320","3,865"
Hyderabad,Dec-2014,"3,548","2,871","3,386","3,907"
Hyderabad,Mar-2015,"3,576","2,903","3,419","3,927"
Hyderabad,Jun-2015,"3,623","2,898","3,459","3,993"
Hyderabad,Sep-2015,"3,664","2,936","3,508","4,024"
Hyderabad,Dec-2015,"3,721","2,989","3,545","4,112"
Hyderabad,Mar-2016,"3,764","2,990","3,582","4,171"
Hyderabad,Jun-2016,"3,840","3,021","3,654","4,260"
Hyderabad,Sep-2016,"3,907","3,058","3,713","4,343"
Hyderabad,Dec-2016,"3,951","3,049","3,753","4,402"
Hyderabad,Mar-2017,"4,002","3,137","3,805","4,446"
Hyderabad,Jun-2017,"3,943","3,121","3,787","4,316"
Hyderabad,Sep-2017,"3,942","3,163","3,758","4,352"
Hyderabad,Dec-2017,"4,058","3,306","3,851","4,499"
Hyderabad,Mar-2018,"4,143","3,357","3,923","4,611"
Hyderabad,JUN-2018,"4,294","3,504","4,050","4,801"
Hyderabad,SEP-2018,"4,468","3,688","4,208","4,998"
Hyderabad,DEC 2018,"4,577","3,885","4,317","5,094"
Hyderabad,Mar 2019,"4,811","4,070","4,495","5,421"
Hyderabad,Jun 2019,"5,033","4,243","4,643","5,769"
Hyderabad,Sep 2019,"5,239","4,389","4,882","5,931"
Hyderabad,Dec 2019,"5,435","4,451","5,089","6,131"
Hyderabad,Mar 2020,"5,576","4,616","5,294","6,169"
Hyderabad,Jun 2020,"5,691","4,812","5,486","6,149"
Hyderabad,Sep 2020,"5,765","4,933","5,485","6,334"
Hyderabad,Dec 2020,"5,898","5,166","5,582","6,509"
Hyderabad,Mar 2021,"6,034","5,220","5,697","6,691"
Hyderabad,Jun 2021,"6,119","5,246","5,770","6,805"
Hyderabad,Sep 2021,"6,290","5,254","5,907","7,054"
Hyderabad,Dec 2021,"6,470","5,245","6,029","7,353"
Hyderabad,Mar 2022,"6,702","5,333","6,194","7,713"
Hyderabad,Jun 2022,"6,842","5,338","6,286","7,950"
Hyderabad,Sep 2022,"6,977","5,329","6,388","8,158"
Hyderabad,Dec 2022,"7,117","5,487","6,535","8,287"
Hyderabad,Mar 2023,"7,233","5,588","6,668","8,377"
Hyderabad,Jun 2023,"7,302","5,628","6,778","8,385"
Hyderabad,Sep 2023,"7,448","5,783","6,911","8,551"
Hyderabad,Dec 2023,"7,563","5,757","7,009","8,713"
Hyderabad,Mar 2024,"7,720","5,798","7,096","9,000"
Hyderabad,Jun 2024,"7,906","6,021","7,244","9,238"
Hyderabad,Sep 2024,"7,947","6,101","7,314","9,228"
Nagpur,Jun-2013,"4,381","4,478","3,854","6,685"
Nagpur,Sep-2013,"4,461","4,545","3,929","6,918"
Nagpur,Dec-2013,"4,374","4,448","3,841","6,918"
Nagpur,Mar-2014,"4,424","4,401","4,090","6,620"
Nagpur,Jun-2014,"4,459","4,507","4,139","5,946"
Nagpur,Sep-2014,"4,522","4,634","4,205","5,447"
Nagpur,Dec-2014,"4,620","4,822","4,243","5,127"
Nagpur,Mar-2015,"4,652","4,928","4,182","5,060"
Nagpur,Jun-2015,"4,726","4,997","4,206","5,484"
Nagpur,Sep-2015,"4,751","5,037","4,202","5,535"
Nagpur,Dec-2015,"4,866","5,149","4,264","5,993"
Nagpur,Mar-2016,"4,944","5,214","4,414","5,759"
Nagpur,Jun-2016,"5,087","5,369","4,546","5,874"
Nagpur,Sep-2016,"5,261","5,506","4,751","6,171"
Nagpur,Dec-2016,"5,379","5,580","4,982","6,007"
Nagpur,Mar-2017,"5,567","5,785","5,077","6,587"
Nagpur,Jun-2017,"5,568","5,826","5,149","5,816"
Nagpur,Sep-2017,"5,476","5,771","5,041","5,508"
Nagpur,Dec-2017,"5,587","5,911","5,098","5,696"
Nagpur,Mar-2018,"5,599","5,869","5,088","6,296"
Nagpur,JUN-2018,"5,637","5,820","5,141","7,011"
Nagpur,SEP-2018,"5,678","5,871","5,161","7,080"
Nagpur,DEC 2018,"5,704","5,880","5,209","7,137"
Nagpur,Mar 2019,"5,734","5,926","5,285","6,750"
Nagpur,Jun 2019,"5,819","6,045","5,408","6,312"
Nagpur,Sep 2019,"6,002","6,243","5,560","6,552"
Nagpur,Dec 2019,"6,130","6,349","5,741","6,546"
Nagpur,Mar 2020,"6,242","6,483","5,820","6,670"
Nagpur,Jun 2020,"6,300","6,548","5,820","7,013"
Nagpur,Sep 2020,"6,075","6,221","5,764","6,674"
Nagpur,Dec 2020,"5,872","6,034","5,632","5,900"
Nagpur,Mar 2021,"5,977","6,089","5,808","6,019"
Nagpur,Jun 2021,"6,056","6,092","5,928","6,517"
Nagpur,Sep 2021,"6,172","6,169","6,073","6,787"
Nagpur,Dec 2021,"6,233","6,186","6,161","7,077"
Nagpur,Mar 2022,"6,167","6,106","6,126","6,935"
Nagpur,Jun 2022,"6,179","6,113","6,118","7,111"
Nagpur,Sep 2022,"6,215","6,203","6,145","6,737"
Nagpur,Dec 2022,"6,184","6,194","6,121","6,477"
Nagpur,Mar 2023,"6,193","6,169","6,159","6,609"
Nagpur,Jun 2023,"6,152","6,211","6,123","5,801"
Nagpur,Sep 2023,"6,118","6,132","6,206","5,466"
Nagpur,Dec 2023,"6,253","6,271","6,374","5,362"
Nagpur,Mar 2024,"6,247","6,217","6,445","5,329"
Nagpur,Jun 2024,"6,393","6,347","6,585","5,653"
Nagpur,Sep 2024,"6,443","6,438","6,558","5,794"
Bengaluru,Jun-2013,"4,835","4,366","4,604","5,330"
Bengaluru,Sep-2013,"4,894","4,676","4,647","5,372"
Bengaluru,Dec-2013,"4,975","4,875","4,688","5,502"
Bengaluru,Mar-2014,"5,047","5,007","4,759","5,562"
Bengaluru,Jun-2014,"5,088","4,778","4,804","5,647"
Bengaluru,Sep-2014,"5,199","4,803","4,912","5,780"
Bengaluru,Dec-2014,"5,307","4,679","5,043","5,889"
Bengaluru,Mar-2015,"5,418","4,851","5,136","6,019"
Bengaluru,Jun-2015,"5,516","5,097","5,221","6,114"
Bengaluru,Sep-2015,"5,623","5,143","5,302","6,278"
Bengaluru,Dec-2015,"5,760","5,630","5,416","6,392"
Bengaluru,Mar-2016,"5,885","5,633","5,563","6,501"
Bengaluru,Jun-2016,"6,082","5,813","5,781","6,663"
Bengaluru,Sep-2016,"6,268","5,993","5,962","6,861"
Bengaluru,Dec-2016,"6,384","5,779","6,077","7,036"
Bengaluru,Mar-2017,"6,526","5,940","6,175","7,254"
Bengaluru,Jun-2017,"6,403","5,812","6,074","7,092"
Bengaluru,Sep-2017,"6,192","5,590","5,870","6,872"
Bengaluru,Dec-2017,"6,302","5,864","5,928","7,045"
Bengaluru,Mar-2018,"6,359","5,995","5,971","7,113"
Bengaluru,JUN-2018,"6,544","6,374","6,124","7,320"
Bengaluru,SEP-2018,"6,849","6,837","6,388","7,666"
Bengaluru,DEC 2018,"6,963","7,094","6,494","7,769"
Bengaluru,Mar 2019,"7,082","7,033","6,616","7,915"
Bengaluru,Jun 2019,"7,256","6,954","6,764","8,182"
Bengaluru,Sep 2019,"7,471","7,061","6,993","8,391"
Bengaluru,Dec 2019,"7,563","7,134","7,180","8,320"
Bengaluru,Mar 2020,"7,502","7,192","7,183","8,123"
Bengaluru,Jun 2020,"7,431","7,255","7,176","7,917"
Bengaluru,Sep 2020,"7,436","7,657","7,186","7,840"
Bengaluru,Dec 2020,"7,388","7,637","7,114","7,828"
Bengaluru,Mar 2021,"7,533","7,843","7,243","7,990"
Bengaluru,Jun 2021,"7,601","7,915","7,297","8,081"
Bengaluru,Sep 2021,"7,595","7,796","7,284","8,109"
Bengaluru,Dec 2021,"7,671","7,956","7,336","8,213"
Bengaluru,Mar 2022,"7,751","8,057","7,375","8,362"
Bengaluru,Jun 2022,"7,877","8,304","7,494","8,478"
Bengaluru,Sep 2022,"8,063","8,549","7,670","8,672"
Bengaluru,Dec 2022,"8,283","8,787","7,874","8,915"
Bengaluru,Mar 2023,"8,460","9,167","8,033","9,087"
Bengaluru,Jun 2023,"8,563","9,456","8,113","9,197"
Bengaluru,Sep 2023,"8,723","9,640","8,235","9,419"
Bengaluru,Dec 2023,"8,869","9,874","8,303","9,688"
Bengaluru,Mar 2024,"9,148","9,988","8,459","10,216"
Bengaluru,Jun 2024,"9,470","10,247","8,764","10,580"
Bengaluru,Sep 2024,"9,695","10,528","8,909","10,935"
Chennai,Jun-2013,"5,306","5,320","5,125","5,825"
Chennai,Sep-2013,"5,372","5,333","5,232","5,843"
Chennai,Dec-2013,"5,454","5,483","5,305","5,855"
Chennai,Mar-2014,"5,584","5,592","5,402","6,113"
Chennai,Jun-2014,"5,692","5,666","5,492","6,318"
Chennai,Sep-2014,"5,724","5,727","5,534","6,282"
Chennai,Dec-2014,"5,761","5,749","5,616","6,206"
Chennai,Mar-2015,"5,843","5,770","5,673","6,449"
Chennai,Jun-2015,"5,935","5,838","5,755","6,603"
Chennai,Sep-2015,"6,072","5,877","5,819","7,093"
Chennai,Dec-2015,"6,191","5,919","5,868","7,527"
Chennai,Mar-2016,"6,277","5,988","5,965","7,603"
Chennai,Jun-2016,"6,413","6,114","6,082","7,811"
Chennai,Sep-2016,"6,596","6,275","6,255","8,050"
Chennai,Dec-2016,"6,769","6,298","6,406","8,504"
Chennai,Mar-2017,"6,987","6,401","6,550","9,099"
Chennai,Jun-2017,"6,940","6,243","6,477","9,282"
Chennai,Sep-2017,"6,832","6,064","6,380","9,245"
Chennai,Dec-2017,"6,900","6,166","6,448","9,265"
Chennai,Mar-2018,"6,822","6,228","6,408","8,882"
Chennai,JUN-2018,"6,887","6,443","6,519","8,596"
Chennai,SEP-2018,"6,915","6,652","6,619","8,159"
Chennai,DEC 2018,"6,952","6,771","6,625","8,170"
Chennai,Mar 2019,"7,027","6,819","6,708","8,263"
Chennai,Jun 2019,"7,090","6,870","6,784","8,306"
Chennai,Sep 2019,"7,193","6,963","6,885","8,424"
Chennai,Dec 2019,"7,192","6,936","6,979","8,180"
Chennai,Mar 2020,"7,137","6,898","6,985","7,922"
Chennai,Jun 2020,"7,084","6,872","6,940","7,808"
Chennai,Sep 2020,"7,052","6,755","6,870","8,004"
Chennai,Dec 2020,"6,952","6,754","6,785","7,722"
Chennai,Mar 2021,"7,082","6,790","6,939","7,911"
Chennai,Jun 2021,"7,096","6,806","6,970","7,878"
Chennai,Sep 2021,"7,215","6,868","7,111","8,007"
Chennai,Dec 2021,"7,444","6,969","7,281","8,593"
Chennai,Mar 2022,"7,685","7,181","7,469","9,030"
Chennai,Jun 2022,"7,999","7,418","7,688","9,735"
Chennai,Sep 2022,"8,090","7,574","7,747","9,826"
Chennai,Dec 2022,"8,103","7,651","7,784","9,676"
Chennai,Mar 2023,"8,177","7,837","7,829","9,679"
Chennai,Jun 2023,"8,086","7,828","7,823","9,228"
Chennai,Sep 2023,"8,235","8,022","7,974","9,302"
Chennai,Dec 2023,"8,414","8,134","8,166","9,538"
Chennai,Mar 2024,"8,591","8,013","8,446","9,831"
Chennai,Jun 2024,"8,860","8,176","8,727","10,212"
Chennai,Sep 2024,"9,012","8,112","8,932","10,513"
Kolkata,Jun-2013,"4,370","3,619","4,047","6,616"
Kolkata,Sep-2013,"4,558","3,847","4,157","6,944"
Kolkata,Dec-2013,"4,653","3,892","4,273","7,070"
Kolkata,Mar-2014,"4,775","4,024","4,339","7,329"
Kolkata,Jun-2014,"4,951","4,176","4,510","7,562"
Kolkata,Sep-2014,"4,999","4,186","4,589","7,596"
Kolkata,Dec-2014,"5,105","4,273","4,680","7,778"
Kolkata,Mar-2015,"5,138","4,351","4,687","7,796"
Kolkata,Jun-2015,"5,236","4,377","4,748","8,129"
Kolkata,Sep-2015,"5,264","4,407","4,749","8,224"
Kolkata,Dec-2015,"5,298","4,493","4,816","8,073"
Kolkata,Mar-2016,"5,356","4,571","4,904","8,011"
Kolkata,Jun-2016,"5,468","4,660","5,054","8,063"
Kolkata,Sep-2016,"5,631","4,722","5,232","8,371"
Kolkata,Dec-2016,"5,755","4,722","5,292","8,897"
Kolkata,Mar-2017,"5,832","4,637","5,359","9,295"
Kolkata,Jun-2017,"5,569","4,380","5,072","9,090"
Kolkata,Sep-2017,"5,473","4,323","5,000","8,853"
Kolkata,Dec-2017,"5,566","4,385","5,050","9,120"
Kolkata,Mar-2018,"5,559","4,405","5,050","9,045"
Kolkata,JUN-2018,"5,679","4,518","5,139","9,263"
Kolkata,SEP-2018,"5,763","4,637","5,192","9,367"
Kolkata,DEC 2018,"5,736","4,644","5,218","9,136"
Kolkata,Mar 2019,"5,830","4,668","5,314","9,352"
Kolkata,Jun 2019,"5,921","4,744","5,434","9,392"
Kolkata,Sep 2019,"5,986","4,769","5,546","9,402"
Kolkata,Dec 2019,"6,097","4,838","5,638","9,637"
Kolkata,Mar 2020,"6,269","5,000","5,831","9,774"
Kolkata,Jun 2020,"6,286","5,011","5,841","9,821"
Kolkata,Sep 2020,"6,389","4,941","5,878","10,422"
Kolkata,Dec 2020,"6,420","4,897","5,851","10,745"
Kolkata,Mar 2021,"6,443","4,884","5,857","10,877"
Kolkata,Jun 2021,"6,387","4,914","5,818","10,619"
Kolkata,Sep 2021,"6,436","5,024","5,866","10,559"
Kolkata,Dec 2021,"6,514","5,107","5,984","10,517"
Kolkata,Mar 2022,"6,569","5,163","6,078","10,466"
Kolkata,Jun 2022,"6,769","5,191","6,271","10,998"
Kolkata,Sep 2022,"6,855","5,191","6,385","11,167"
Kolkata,Dec 2022,"7,014","5,293","6,542","11,436"
Kolkata,Mar 2023,"7,310","5,512","6,717","12,201"
Kolkata,Jun 2023,"7,279","5,592","6,699","11,931"
Kolkata,Sep 2023,"7,479","5,728","6,936","12,149"
Kolkata,Dec 2023,"7,518","5,782","7,032","12,006"
Kolkata,Mar 2024,"7,580","5,766","7,179","11,979"
Kolkata,Jun 2024,"7,859","5,901","7,432","12,588"
Kolkata,Sep 2024,"7,932","5,963","7,487","12,732"
Ahmedabad,Jun-2013,"3,212","2,883","3,161","3,969"
Ahmedabad,Sep-2013,"3,210","2,945","3,133","3,917"
Ahmedabad,Dec-2013,"3,156","2,939","3,030","3,906"
Ahmedabad,Mar-2014,"3,119","2,920","2,972","3,887"
Ahmedabad,Jun-2014,"3,138","2,997","2,947","3,918"
Ahmedabad,Sep-2014,"3,100","2,953","2,898","3,923"
Ahmedabad,Dec-2014,"3,128","2,899","2,973","3,976"
Ahmedabad,Mar-2015,"3,141","2,847","3,013","4,037"
Ahmedabad,Jun-2015,"3,141","2,814","3,037","4,039"
Ahmedabad,Sep-2015,"3,165","2,835","3,059","4,069"
Ahmedabad,Dec-2015,"3,172","2,911","3,026","4,060"
Ahmedabad,Mar-2016,"3,149","2,901","2,987","4,056"
Ahmedabad,Jun-2016,"3,175","2,975","2,973","4,095"
Ahmedabad,Sep-2016,"3,198","2,983","2,997","4,148"
Ahmedabad,Dec-2016,"3,212","2,980","3,018","4,171"
Ahmedabad,Mar-2017,"3,260","3,019","3,078","4,207"
Ahmedabad,Jun-2017,"3,256","2,976","3,134","4,115"
Ahmedabad,Sep-2017,"3,306","3,082","3,177","4,075"
Ahmedabad,Dec-2017,"3,418","3,259","3,239","4,200"
Ahmedabad,Mar-2018,"3,515","3,395","3,301","4,315"
Ahmedabad,JUN-2018,"3,698","3,628","3,426","4,564"
Ahmedabad,SEP-2018,"3,876","3,818","3,591","4,757"
Ahmedabad,DEC 2018,"4,009","3,969","3,742","4,810"
Ahmedabad,Mar 2019,"4,115","4,071","3,854","4,905"
Ahmedabad,Jun 2019,"4,258","4,247","3,990","5,007"
Ahmedabad,Sep 2019,"4,445","4,430","4,173","5,209"
Ahmedabad,Dec 2019,"4,663","4,580","4,404","5,518"
Ahmedabad,Mar 2020,"4,817","4,773","4,563","5,585"
Ahmedabad,Jun 2020,"4,955","4,874","4,743","5,680"
Ahmedabad,Sep 2020,"5,008","4,902","4,847","5,643"
Ahmedabad,Dec 2020,"5,157","4,974","5,051","5,789"
Ahmedabad,Mar 2021,"5,353","5,036","5,327","6,017"
Ahmedabad,Jun 2021,"5,484","5,083","5,477","6,255"
Ahmedabad,Sep 2021,"5,669","5,223","5,714","6,386"
Ahmedabad,Dec 2021,"5,783","5,361","5,863","6,360"
Ahmedabad,Mar 2022,"6,079","5,574","6,231","6,618"
Ahmedabad,Jun 2022,"6,223","5,672","6,433","6,694"
Ahmedabad,Sep 2022,"6,442","5,811","6,679","6,986"
Ahmedabad,Dec 2022,"6,633","5,947","6,894","7,217"
Ahmedabad,Mar 2023,"6,735","6,085","6,983","7,283"
Ahmedabad,Jun 2023,"6,788","6,208","6,980","7,357"
Ahmedabad,Sep 2023,"6,836","6,333","7,032","7,251"
Ahmedabad,Dec 2023,"6,942","6,385","7,167","7,383"
Ahmedabad,Mar 2024,"7,131","6,463","7,417","7,611"
Ahmedabad,Jun 2024,"7,220","6,523","7,560","7,612"
Ahmedabad,Sep 2024,"7,380","6,579","7,713","7,982"
Nashik,Jun-2013,"3,041","2,999","3,034","3,629"
Nashik,Sep-2013,"3,076","3,018","3,087","3,641"
Nashik,Dec-2013,"3,144","3,060","3,164","3,893"
Nashik,Mar-2014,"3,181","3,099","3,202","3,892"
Nashik,Jun-2014,"3,190","3,141","3,172","4,005"
Nashik,Sep-2014,"3,230","3,194","3,167","4,448"
Nashik,Dec-2014,"3,242","3,227","3,151","4,575"
Nashik,Mar-2015,"3,262","3,257","3,143","4,814"
Nashik,Jun-2015,"3,288","3,276","3,185","4,719"
Nashik,Sep-2015,"3,333","3,287","3,282","4,513"
Nashik,Dec-2015,"3,415","3,322","3,412","4,571"
Nashik,Mar-2016,"3,492","3,357","3,531","4,639"
Nashik,Jun-2016,"3,544","3,397","3,589","4,757"
Nashik,Sep-2016,"3,578","3,459","3,602","4,699"
Nashik,Dec-2016,"3,567","3,502","3,540","4,681"
Nashik,Mar-2017,"3,571","3,559","3,498","4,611"
Nashik,Jun-2017,"3,550","3,602","3,413","4,620"
Nashik,Sep-2017,"3,561","3,600","3,426","4,785"
Nashik,Dec-2017,"3,666","3,670","3,561","4,934"
Nashik,Mar-2018,"3,746","3,725","3,669","4,965"
Nashik,JUN-2018,"3,877","3,791","3,865","5,060"
Nashik,SEP-2018,"3,945","3,856","3,941","5,048"
Nashik,DEC 2018,"3,947","3,864","3,954","4,838"
Nashik,Mar 2019,"3,999","3,881","4,042","4,863"
Nashik,Jun 2019,"4,051","3,957","4,081","4,803"
Nashik,Sep 2019,"4,060","4,035","4,028","4,752"
Nashik,Dec 2019,"4,062","4,030","4,015","5,019"
Nashik,Mar 2020,"4,054","4,041","3,994","4,968"
Nashik,Jun 2020,"4,018","3,995","3,964","4,976"
Nashik,Sep 2020,"3,996","3,885","4,017","5,055"
Nashik,Dec 2020,"3,960","3,837","4,005","4,866"
Nashik,Mar 2021,"3,944","3,769","4,032","4,940"
Nashik,Jun 2021,"3,928","3,730","4,029","5,037"
Nashik,Sep 2021,"3,924","3,706","4,048","4,986"
Nashik,Dec 2021,"3,983","3,734","4,137","5,036"
Nashik,Mar 2022,"4,020","3,783","4,165","5,025"
Nashik,Jun 2022,"4,062","3,828","4,213","4,974"
Nashik,Sep 2022,"4,124","3,874","4,293","4,997"
Nashik,Dec 2022,"4,173","3,921","4,345","5,034"
Nashik,Mar 2023,"4,238","3,994","4,403","5,108"
Nashik,Jun 2023,"4,287","4,044","4,453","5,113"
Nashik,Sep 2023,"4,339","4,113","4,485","5,233"
Nashik,Dec 2023,"4,414","4,182","4,568","5,271"
Nashik,Mar 2024,"4,511","4,265","4,683","5,319"
Nashik,Jun 2024,"4,567","4,322","4,733","5,401"
Nashik,Sep 2024,"4,626","4,389","4,792","5,390"
Indore,Jun-2013,"2,666","2,476","2,710","3,070"
Indore,Sep-2013,"2,722","2,530","2,764","3,143"
Indore,Dec-2013,"2,747","2,556","2,764","3,250"
Indore,Mar-2014,"2,815","2,630","2,816","3,358"
Indore,Jun-2014,"2,873","2,723","2,857","3,374"
Indore,Sep-2014,"2,933","2,847","2,879","3,378"
Indore,Dec-2014,"2,973","2,963","2,912","3,224"
Indore,Mar-2015,"3,024","3,071","2,942","3,177"
Indore,Jun-2015,"3,029","3,065","2,954","3,191"
Indore,Sep-2015,"3,049","3,069","2,997","3,178"
Indore,Dec-2015,"3,104","3,103","3,065","3,248"
Indore,Mar-2016,"3,155","3,151","3,100","3,359"
Indore,Jun-2016,"3,200","3,203","3,138","3,411"
Indore,Sep-2016,"3,242","3,247","3,167","3,496"
Indore,Dec-2016,"3,282","3,243","3,230","3,583"
Indore,Mar-2017,"3,327","3,231","3,342","3,558"
Indore,Jun-2017,"3,262","3,120","3,295","3,571"
Indore,Sep-2017,"3,191","2,995","3,253","3,550"
Indore,Dec-2017,"3,279","3,082","3,329","3,686"
Indore,Mar-2018,"3,321","3,116","3,362","3,788"
Indore,JUN-2018,"3,402","3,213","3,438","3,839"
Indore,SEP-2018,"3,517","3,338","3,536","3,981"
Indore,DEC 2018,"3,539","3,396","3,536","3,970"
Indore,Mar 2019,"3,603","3,414","3,632","4,066"
Indore,Jun 2019,"3,719","3,509","3,736","4,279"
Indore,Sep 2019,"3,793","3,626","3,794","4,286"
Indore,Dec 2019,"3,836","3,582","3,894","4,382"
Indore,Mar 2020,"3,855","3,595","3,918","4,401"
Indore,Jun 2020,"3,848","3,586","3,949","4,266"
Indore,Sep 2020,"3,800","3,465","3,964","4,213"
Indore,Dec 2020,"3,805","3,497","3,896","4,396"
Indore,Mar 2021,"3,864","3,536","3,933","4,595"
Indore,Jun 2021,"3,873","3,555","3,920","4,648"
Indore,Sep 2021,"3,917","3,598","3,958","4,713"
Indore,Dec 2021,"4,006","3,698","4,000","4,937"
